url,route_id,field_type,matched_text,context,field_meaning,suspected_boilerplate
https://footloosedev.com/manali-leh/,manali_leh,distance_mention,120 km,t some stretches (particularly at Morre Plains) I was doing well over 120 km. Leh to Manali Is No Offroading I remember I found only a little stre,any bare NNN km / NNNN km mention,False
https://footloosedev.com/manali-leh/,manali_leh,duration_days,9 days,"morning. I moreover did the entire trip for just INR 5000, including 9 days of fuel, food, accommodation and taxes. I was also one of the first f",N days mention,False
https://footloosedev.com/manali-leh/,manali_leh,duration_days,2 days,"re riding. If you want to do it on a minimum budget, you can do it in 2 days: Manali to Keylong and then Keylong to Leh. Even if you re booking a",N days mention,False
https://footloosedev.com/manali-leh/,manali_leh,fuel_tank_litres,14-litre tank,300cc Jawa motorcycle that gave me a mileage of nearly 35 km. And its 14-litre tank had enough fuel for me to do the entire stretch. The two farthest pet,fuel tank capacity in litres,False
https://footloosedev.com/manali-leh/,manali_leh,fuel_litres_generic,14 L,ileage of nearly 25 km on this route. The bike has a fuel capacity of 14 L. One full tank was enough between the two farthest petrol stations on,any litres mention,False
https://footloosedev.com/manali-leh/,manali_leh,mileage_kmpl,mileage of nearly 25 km,a Fuel I did not carry any extra petrol on my Jawa 42 which gave me a mileage of nearly 25 km on this route. The bike has a fuel capacity of 14 L. One full tank wa,fuel mileage / efficiency mention,False
https://footloosedev.com/manali-leh/,manali_leh,mileage_kmpl,mileage of nearly 35 km,for most riders. I was riding a 300cc Jawa motorcycle that gave me a mileage of nearly 35 km. And its 14-litre tank had enough fuel for me to do the entire stretc,fuel mileage / efficiency mention,False
https://www.team-bhp.com/news/recalling-my-journey-manali-leh-bike-35-years-ago,manali_leh,distance_mention,860 kms,"r. A few months earlier, I had undertaken the Bangalore-Pune journey (860 kms. in seventeen hours flat, NONSTOP, riding throughout the night.) Sinc",any bare NNN km / NNNN km mention,False
https://www.team-bhp.com/news/recalling-my-journey-manali-leh-bike-35-years-ago,manali_leh,distance_mention,520 km,after a day of driving Kia Syros EV to get two battery options; up to 520 km range Team-BHP.com Advice Classifieds Forum Hot Threads Directory -->,any bare NNN km / NNNN km mention,True
https://www.team-bhp.com/news/recalling-my-journey-manali-leh-bike-35-years-ago,manali_leh,distance_kilometre_word,470 kilometre,alone on a motorcycle on the highest motorable road in the world? The 470 kilometre Manali-Leh road covers the most formidable mountainous terrain passin,NNN kilometre(s) mention,False
https://www.team-bhp.com/news/recalling-my-journey-manali-leh-bike-35-years-ago,manali_leh,distance_kilometre_word,470 kilometre,"25 litres of petrol, since there would be no petrol pump for the next 470 kilometres! And after Keylong, absolutely no civilisation! The next 41 kilometr",NNN kilometre(s) mention,False
https://www.team-bhp.com/news/recalling-my-journey-manali-leh-bike-35-years-ago,manali_leh,distance_kilometre_word,470 kilometre,"een hours flat, NONSTOP, riding throughout the night.) Since, Leh was 470 kilometres away, I presumed that however tough this road, I might be able to co",NNN kilometre(s) mention,False
https://www.team-bhp.com/news/recalling-my-journey-manali-leh-bike-35-years-ago,manali_leh,fuel_litres_generic,25 litres of petrol,"r meandering around for a couple of hours, I had to stock myself with 25 litres of petrol, since there would be no petrol pump for the next 470 kilometres! And",any litres mention,False
https://www.team-bhp.com/news/hyderabad-ladakh-back-duke-390-epic-7000-km-trip,manali_leh,total_distance_labeled,Total distance: 492 km,"in Kakinada, Andhra Pradesh and rode to Hyderabad. Distance : 492 km Total distance: 492 km Day 2: Technically, it’s not day 2 of the ride because I stopped in H",explicit 'total distance ... NNN km' phrase,False
https://www.team-bhp.com/news/hyderabad-ladakh-back-duke-390-epic-7000-km-trip,manali_leh,total_distance_labeled,Total distance : 1392 km,"st of conditions with broken roads and bumpy rides. Distance : 900 km Total distance : 1392 km Day 3: I hopped out of bed at 6 AM and after a refreshing shower, I w",explicit 'total distance ... NNN km' phrase,False
https://www.team-bhp.com/news/hyderabad-ladakh-back-duke-390-epic-7000-km-trip,manali_leh,total_distance_labeled,Total distance : 2022 km,"running like a dream, so I decided to roll with it. Distance : 630 km Total distance : 2022 km Day 4 : Target Himachal The next day I was up early at 5:30 in the mo",explicit 'total distance ... NNN km' phrase,False
https://www.team-bhp.com/news/hyderabad-ladakh-back-duke-390-epic-7000-km-trip,manali_leh,total_distance_labeled,Total distance: 2392 km,ops to soak in the breathtaking views along the way Distance : 370 km Total distance: 2392 km Day 5: Remember how my friend stayed behind while I started my solo j,explicit 'total distance ... NNN km' phrase,False
https://www.team-bhp.com/news/hyderabad-ladakh-back-duke-390-epic-7000-km-trip,manali_leh,total_distance_labeled,Total distance : 2619 km,"ge from the rain gods. I arrived in Manali by 2 PM. Distance : 227 km Total distance : 2619 km After two more days of waiting in Manali, my friend finally joined me",explicit 'total distance ... NNN km' phrase,False
https://www.team-bhp.com/news/hyderabad-ladakh-back-duke-390-epic-7000-km-trip,manali_leh,distance_mention,000 km,"Hyderabad to Ladakh back on a Duke 390: An epic 7,000 km trip | Team-BHP Skip to main content Make Team-BHP your Home Page | -",any bare NNN km / NNNN km mention,False
https://www.team-bhp.com/news/hyderabad-ladakh-back-duke-390-epic-7000-km-trip,manali_leh,distance_mention,000 km,"ds Store --> News Hyderabad to Ladakh & back on a Duke 390: An epic 7,000 km trip 15th November 2024, 11:12 by Ananth Iyer --> View Forum Discussi",any bare NNN km / NNNN km mention,False
https://www.team-bhp.com/news/hyderabad-ladakh-back-duke-390-epic-7000-km-trip,manali_leh,distance_mention,492 km,"s house in Kakinada, Andhra Pradesh and rode to Hyderabad. Distance : 492 km Total distance: 492 km Day 2: Technically, it’s not day 2 of the ride",any bare NNN km / NNNN km mention,False
